Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20152017","2015-2017","%","11.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20152017","2015-2017","%","18.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","14.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","20.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","15.2","A","Official figure","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","19.4","A","Official figure","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","17.5","A","Official figure","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","22","A","Official figure","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","20.1","A","Official figure","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","25","A","Official figure","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20152017","2015-2017","%","10.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20152017","2015-2017","%","18","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20162018","2016-2018","%","11.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20162018","2016-2018","%","18.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","14.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","21.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20182020","2018-2020","%","17.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20182020","2018-2020","%","25.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","19.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","28.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20152017","2015-2017","%","12.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20152017","2015-2017","%","20.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20162018","2016-2018","%","15.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20162018","2016-2018","%","23.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","23.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","31.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20182020","2018-2020","%","32.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20182020","2018-2020","%","42.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","34.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","45.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20152017","2015-2017","%","8.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20152017","2015-2017","%","12.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","9.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","12.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","8.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","11.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","7.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","10.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","6.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","9.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20152017","2015-2017","%","6.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20152017","2015-2017","%","10.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20162018","2016-2018","%","6.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20162018","2016-2018","%","10.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","6.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","10.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20182020","2018-2020","%","5.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20182020","2018-2020","%","9.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","4.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","8.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20152017","2015-2017","%","8.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20152017","2015-2017","%","13.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20162018","2016-2018","%","9.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20162018","2016-2018","%","14.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","8.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","12.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20182020","2018-2020","%","7.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20182020","2018-2020","%","11.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","6.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","10.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20152017","2015-2017","%","9.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20152017","2015-2017","%","15.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","8.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","14.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","7","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","11.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","5.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","8.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","4.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","8.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20152017","2015-2017","%","7.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20152017","2015-2017","%","14.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20162018","2016-2018","%","6.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20162018","2016-2018","%","12.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","5.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","10.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20182020","2018-2020","%","3.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20182020","2018-2020","%","8.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","3.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","9.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20152017","2015-2017","%","9.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20152017","2015-2017","%","17.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20162018","2016-2018","%","8.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20162018","2016-2018","%","15.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","6.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","12.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20182020","2018-2020","%","4.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20182020","2018-2020","%","8.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","3.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","6.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","016","American Samoa","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20152017","2015-2017","%","","O","Missing value",""
