Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","001","World","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20142016","2014-2016","%","7.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20142016","2014-2016","%","7.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20142016","2014-2016","%","8.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20152017","2015-2017","%","7.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20152017","2015-2017","%","7.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20152017","2015-2017","%","8.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","8.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","8","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","8.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","8.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","8.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","9.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","9.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","9.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","10.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","10.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","10.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","11","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2014","2014","%","7.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2014","2014","%","7.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2014","2014","%","8.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2015","2015","%","7.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2015","2015","%","7","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2015","2015","%","8","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2016","2016","%","7.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2016","2016","%","7.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2016","2016","%","8.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2017","2017","%","8.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2017","2017","%","7.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2017","2017","%","8.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2018","2018","%","9","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2018","2018","%","8.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2018","2018","%","9.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2019","2019","%","9.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2019","2019","%","8.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2019","2019","%","9.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2020","2020","%","10.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2020","2020","%","10.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2020","2020","%","11.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2021","2021","%","11.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2021","2021","%","11.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2021","2021","%","12.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20142016","2014-2016","%","7.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20142016","2014-2016","%","7.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20142016","2014-2016","%","8.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20152017","2015-2017","%","8.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20152017","2015-2017","%","7.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20152017","2015-2017","%","8.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20162018","2016-2018","%","9","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20162018","2016-2018","%","8.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20162018","2016-2018","%","9.6","E","Estimated value",""
